Accession_Name,Type
CX63,Saltol_Bridge_Candidate
CX108,Saltol_Bridge_Candidate
CX227,Saltol_Bridge_Candidate
IRIS_313-8252,Saltol_Bridge_Candidate
IRIS_313-8410,Saltol_Bridge_Candidate
IRIS_313-8641,Saltol_Bridge_Candidate
IRIS_313-8721,Saltol_Bridge_Candidate
IRIS_313-8789,Saltol_Bridge_Candidate
IRIS_313-8864,Saltol_Bridge_Candidate
IRIS_313-8921,Saltol_Bridge_Candidate
IRIS_313-8963,Saltol_Bridge_Candidate
IRIS_313-9368,Saltol_Bridge_Candidate
IRIS_313-9422,Saltol_Bridge_Candidate
IRIS_313-9626,Saltol_Bridge_Candidate
IRIS_313-9661,Saltol_Bridge_Candidate
IRIS_313-10150,Saltol_Bridge_Candidate
IRIS_313-10534,Saltol_Bridge_Candidate
IRIS_313-10593,Saltol_Bridge_Candidate
IRIS_313-10594,Saltol_Bridge_Candidate
IRIS_313-10598,Saltol_Bridge_Candidate
IRIS_313-10600,Saltol_Bridge_Candidate
IRIS_313-10602,Saltol_Bridge_Candidate
IRIS_313-10603,Saltol_Bridge_Candidate
IRIS_313-10604,Saltol_Bridge_Candidate
IRIS_313-10605,Saltol_Bridge_Candidate
IRIS_313-10606,Saltol_Bridge_Candidate
IRIS_313-10673,Saltol_Bridge_Candidate
IRIS_313-10849,Saltol_Bridge_Candidate
IRIS_313-10875,Saltol_Bridge_Candidate
IRIS_313-10930,Saltol_Bridge_Candidate
IRIS_313-10963,Saltol_Bridge_Candidate
IRIS_313-10964,Saltol_Bridge_Candidate
IRIS_313-10965,Saltol_Bridge_Candidate
IRIS_313-10969,Saltol_Bridge_Candidate
IRIS_313-10976,Saltol_Bridge_Candidate
IRIS_313-11016,Saltol_Bridge_Candidate
IRIS_313-11017,Saltol_Bridge_Candidate
IRIS_313-11019,Saltol_Bridge_Candidate
IRIS_313-11031,Saltol_Bridge_Candidate
IRIS_313-11047,Saltol_Bridge_Candidate
IRIS_313-11048,Saltol_Bridge_Candidate
IRIS_313-11050,Saltol_Bridge_Candidate
IRIS_313-11051,Saltol_Bridge_Candidate
IRIS_313-11052,Saltol_Bridge_Candidate
IRIS_313-11053,Saltol_Bridge_Candidate
IRIS_313-11054,Saltol_Bridge_Candidate
IRIS_313-11055,Saltol_Bridge_Candidate
IRIS_313-11056,Saltol_Bridge_Candidate
IRIS_313-11057,Saltol_Bridge_Candidate
IRIS_313-11058,Saltol_Bridge_Candidate
IRIS_313-11059,Saltol_Bridge_Candidate
IRIS_313-11060,Saltol_Bridge_Candidate
IRIS_313-11061,Saltol_Bridge_Candidate
IRIS_313-11063,Saltol_Bridge_Candidate
IRIS_313-11064,Saltol_Bridge_Candidate
IRIS_313-11065,Saltol_Bridge_Candidate
IRIS_313-11067,Saltol_Bridge_Candidate
IRIS_313-11163,Saltol_Bridge_Candidate
IRIS_313-11166,Saltol_Bridge_Candidate
IRIS_313-11169,Saltol_Bridge_Candidate
IRIS_313-11171,Saltol_Bridge_Candidate
IRIS_313-11172,Saltol_Bridge_Candidate
IRIS_313-11174,Saltol_Bridge_Candidate
IRIS_313-11176,Saltol_Bridge_Candidate
IRIS_313-11210,Saltol_Bridge_Candidate
IRIS_313-11213,Saltol_Bridge_Candidate
IRIS_313-11272,Saltol_Bridge_Candidate
IRIS_313-11274,Saltol_Bridge_Candidate
IRIS_313-11291,Saltol_Bridge_Candidate
IRIS_313-11298,Saltol_Bridge_Candidate
IRIS_313-11322,Saltol_Bridge_Candidate
IRIS_313-11324,Saltol_Bridge_Candidate
IRIS_313-11348,Saltol_Bridge_Candidate
IRIS_313-11374,Saltol_Bridge_Candidate
IRIS_313-11483,Saltol_Bridge_Candidate
IRIS_313-11486,Saltol_Bridge_Candidate
IRIS_313-11557,Saltol_Bridge_Candidate
IRIS_313-11598,Saltol_Bridge_Candidate
IRIS_313-11628,Saltol_Bridge_Candidate
IRIS_313-11809,Saltol_Bridge_Candidate
IRIS_313-11982,Saltol_Bridge_Candidate
IRIS_313-12002,Saltol_Bridge_Candidate
IRIS_313-12141,Saltol_Bridge_Candidate
